student_id,school,sex,age,address,famsize,pstatus,parent_education,mjob,fjob,subject,studytime,study_time_category,failures,absences,attendance_rate,g1,g2,g3,average_grade,final_grade,pass_fail,performance_category,grade_improvement,risk_status
STU-007A4610,GP,M,15,U,GT3,T,Higher Education,health,services,Mathematics,2,2 to 5 hours,0,0,100.0,9,11,12,10.67,12,Pass,Satisfactory,3,Low Risk
STU-B6B62C92,GP,M,15,U,GT3,T,Higher Education,services,services,Mathematics,2,2 to 5 hours,0,0,100.0,17,16,17,16.67,17,Pass,Distinction,0,Low Risk
STU-168BC7D4,GP,M,15,R,GT3,T,Higher Education,teacher,at_home,Mathematics,2,2 to 5 hours,0,0,100.0,17,16,16,16.33,16,Pass,Distinction,-1,Low Risk
STU-232FC95D,GP,M,15,U,LE3,T,Secondary Education,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,8,10,12,10.0,12,Pass,Satisfactory,4,Low Risk
STU-0F7F1639,GP,M,16,U,GT3,T,Secondary Education,other,other,Mathematics,1,<2 hours,0,0,100.0,12,14,15,13.67,15,Pass,Good,3,Low Risk
STU-346D1ED8,GP,F,15,U,GT3,T,Secondary Education,other,other,Mathematics,1,<2 hours,0,0,100.0,8,7,6,7.0,6,Fail,At-Risk,-2,Medium Risk
STU-54B1B380,GP,M,15,U,LE3,T,Higher Education,teacher,services,Mathematics,3,5 to 10 hours,0,2,97.85,15,16,18,16.33,18,Pass,Distinction,3,Low Risk
STU-6FAAC800,GP,M,16,R,GT3,A,Higher Education,other,teacher,Mathematics,3,5 to 10 hours,0,7,92.47,15,16,15,15.33,15,Pass,Good,0,Low Risk
STU-9F641579,GP,F,15,R,GT3,T,Higher Education,services,health,Mathematics,3,5 to 10 hours,0,2,97.85,12,12,11,11.67,11,Pass,Satisfactory,-1,Low Risk
STU-5FDCA47D,GP,F,15,R,GT3,T,5th to 9th grade,at_home,other,Mathematics,1,<2 hours,0,8,91.4,14,13,13,13.33,13,Pass,Satisfactory,-1,Low Risk
STU-7615AB39,GP,F,16,U,LE3,T,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,1,25,73.12,7,10,11,9.33,11,Pass,Satisfactory,4,Medium Risk
STU-7D7B1066,GP,M,15,U,LE3,T,Higher Education,teacher,other,Mathematics,1,<2 hours,0,8,91.4,12,12,12,12.0,12,Pass,Satisfactory,0,Low Risk
STU-A563A07E,GP,M,15,U,GT3,T,Higher Education,services,teacher,Mathematics,2,2 to 5 hours,0,2,97.85,19,18,18,18.33,18,Pass,Distinction,-1,Low Risk
STU-98DBE181,GP,M,15,U,GT3,T,5th to 9th grade,services,services,Mathematics,1,<2 hours,0,0,100.0,8,8,11,9.0,11,Pass,Satisfactory,3,Low Risk
STU-9FE78E02,GP,F,16,U,LE3,T,5th to 9th grade,other,at_home,Mathematics,2,2 to 5 hours,1,14,84.95,10,10,9,9.67,9,Fail,At-Risk,-1,High Risk
STU-BD00A41C,GP,F,15,U,LE3,A,Higher Education,other,other,Mathematics,2,2 to 5 hours,0,8,91.4,8,8,6,7.33,6,Fail,At-Risk,-2,Medium Risk
STU-E1BA4C96,GP,F,16,U,LE3,A,Secondary Education,other,services,Mathematics,2,2 to 5 hours,0,12,87.1,11,12,11,11.33,11,Pass,Satisfactory,0,Medium Risk
STU-2D3C97A6,GP,M,16,U,GT3,T,Higher Education,health,services,Mathematics,4,>10 hours,0,4,95.7,19,19,20,19.33,20,Pass,Distinction,1,Low Risk
STU-B20B9336,GP,M,15,U,GT3,T,Higher Education,teacher,other,Mathematics,2,2 to 5 hours,0,2,97.85,15,15,14,14.67,14,Pass,Good,-1,Low Risk
STU-22671154,GP,F,15,U,GT3,T,Higher Education,services,teacher,Mathematics,2,2 to 5 hours,1,2,97.85,7,7,7,7.0,7,Fail,At-Risk,0,High Risk
STU-87E1D54F,GP,F,16,U,LE3,T,5th to 9th grade,services,services,Mathematics,2,2 to 5 hours,0,2,97.85,12,13,13,12.67,13,Pass,Satisfactory,1,Low Risk
STU-69114641,GP,F,15,U,LE3,T,Higher Education,health,other,Mathematics,2,2 to 5 hours,0,2,97.85,11,13,13,12.33,13,Pass,Satisfactory,2,Low Risk
STU-A50F99FB,GP,M,15,U,LE3,A,Higher Education,health,health,Mathematics,1,<2 hours,1,6,93.55,11,11,10,10.67,10,Pass,Satisfactory,-1,Medium Risk
STU-3D23468A,GP,F,15,U,GT3,T,Higher Education,services,services,Mathematics,1,<2 hours,0,0,100.0,8,10,11,9.67,11,Pass,Satisfactory,3,Low Risk
STU-B3E524BB,GP,F,15,U,LE3,A,Secondary Education,other,other,Mathematics,1,<2 hours,0,6,93.55,10,13,13,12.0,13,Pass,Satisfactory,3,Low Risk
STU-E43870D1,GP,F,16,U,GT3,A,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,0,8,91.4,8,9,10,9.0,10,Pass,Satisfactory,2,Low Risk
STU-F25C7CF0,GP,F,15,U,GT3,A,Higher Education,services,services,Mathematics,2,2 to 5 hours,0,0,100.0,14,15,15,14.67,15,Pass,Good,1,Low Risk
STU-300C102A,GP,M,15,U,GT3,T,Higher Education,teacher,health,Mathematics,2,2 to 5 hours,0,4,95.7,14,15,15,14.67,15,Pass,Good,1,Low Risk
STU-A8678075,GP,M,15,U,LE3,T,5th to 9th grade,other,at_home,Mathematics,2,2 to 5 hours,0,2,97.85,9,10,9,9.33,9,Fail,At-Risk,0,Medium Risk
STU-401BD1B7,GP,F,16,U,GT3,T,Higher Education,services,other,Mathematics,2,2 to 5 hours,0,2,97.85,15,16,16,15.67,16,Pass,Distinction,1,Low Risk
STU-0192628A,GP,F,16,R,GT3,T,Higher Education,health,teacher,Mathematics,2,2 to 5 hours,0,6,93.55,10,11,11,10.67,11,Pass,Satisfactory,1,Low Risk
STU-0BA134A2,GP,F,16,U,GT3,T,Primary (4th grade),services,services,Mathematics,1,<2 hours,0,6,93.55,10,8,11,9.67,11,Pass,Satisfactory,1,Low Risk
STU-687206FE,GP,F,16,U,LE3,T,5th to 9th grade,other,services,Mathematics,2,2 to 5 hours,0,4,95.7,8,10,9,9.0,9,Fail,At-Risk,1,Medium Risk
STU-FF9874A2,GP,F,16,U,GT3,T,Higher Education,teacher,health,Mathematics,3,5 to 10 hours,0,2,97.85,10,9,9,9.33,9,Fail,At-Risk,-1,Medium Risk
STU-5F6AA41F,GP,F,15,U,LE3,T,Higher Education,services,services,Mathematics,2,2 to 5 hours,0,0,100.0,10,10,10,10.0,10,Pass,Satisfactory,0,Low Risk
STU-A0C55580,GP,F,16,U,LE3,T,Higher Education,teacher,services,Mathematics,2,2 to 5 hours,0,2,97.85,16,15,15,15.33,15,Pass,Good,-1,Low Risk
STU-30133F89,GP,M,15,U,GT3,A,Higher Education,other,services,Mathematics,4,>10 hours,0,4,95.7,13,13,12,12.67,12,Pass,Satisfactory,-1,Low Risk
STU-0D15B186,GP,F,16,U,GT3,T,Secondary Education,services,other,Mathematics,4,>10 hours,0,4,95.7,7,7,6,6.67,6,Fail,At-Risk,-1,Medium Risk
STU-C2DED612,GP,F,15,R,LE3,T,5th to 9th grade,health,services,Mathematics,2,2 to 5 hours,0,2,97.85,8,9,8,8.33,8,Fail,At-Risk,0,Medium Risk
STU-5937C88F,GP,F,15,R,LE3,T,Secondary Education,other,other,Mathematics,4,>10 hours,0,12,87.1,16,16,16,16.0,16,Pass,Distinction,0,Medium Risk
STU-D87B8E95,GP,M,16,U,GT3,T,Secondary Education,other,other,Mathematics,4,>10 hours,0,0,100.0,13,15,15,14.33,15,Pass,Good,2,Low Risk
STU-E74C1FCA,GP,M,15,U,GT3,T,Higher Education,other,other,Mathematics,4,>10 hours,0,0,100.0,10,10,10,10.0,10,Pass,Satisfactory,0,Low Risk
STU-F0400DDC,GP,F,15,R,GT3,T,Primary (4th grade),other,other,Mathematics,2,2 to 5 hours,2,2,97.85,8,6,5,6.33,5,Fail,At-Risk,-3,High Risk
STU-5BDD2FB3,GP,M,16,U,GT3,T,Secondary Education,other,other,Mathematics,1,<2 hours,0,2,97.85,12,12,14,12.67,14,Pass,Good,2,Low Risk
STU-E0D89C36,GP,F,16,U,GT3,T,Secondary Education,other,services,Mathematics,2,2 to 5 hours,0,54,41.94,11,12,11,11.33,11,Pass,Satisfactory,0,Medium Risk
STU-98ED6E9D,GP,M,15,U,GT3,T,Higher Education,teacher,other,Mathematics,2,2 to 5 hours,0,6,93.55,9,9,10,9.33,10,Pass,Satisfactory,1,Low Risk
STU-6681E7A7,GP,M,15,U,GT3,T,Higher Education,teacher,other,Mathematics,4,>10 hours,0,8,91.4,11,11,10,10.67,10,Pass,Satisfactory,-1,Low Risk
STU-0A3D4FF8,GP,F,16,U,GT3,T,5th to 9th grade,other,other,Mathematics,4,>10 hours,0,0,100.0,11,11,11,11.0,11,Pass,Satisfactory,0,Low Risk
STU-69668EB0,GP,M,17,U,GT3,T,5th to 9th grade,other,other,Mathematics,1,<2 hours,3,2,97.85,8,8,10,8.67,10,Pass,Satisfactory,2,Medium Risk
STU-DBD7451A,GP,F,16,U,GT3,T,Higher Education,at_home,other,Mathematics,2,2 to 5 hours,0,12,87.1,5,5,5,5.0,5,Fail,At-Risk,0,High Risk
STU-C265FABC,GP,M,15,U,GT3,T,Secondary Education,other,services,Mathematics,1,<2 hours,0,2,97.85,10,12,12,11.33,12,Pass,Satisfactory,2,Low Risk
STU-63A420DB,GP,M,15,U,GT3,T,Secondary Education,other,other,Mathematics,3,5 to 10 hours,0,4,95.7,11,10,11,10.67,11,Pass,Satisfactory,0,Low Risk
STU-FEFC7BE8,GP,F,15,U,LE3,T,Secondary Education,services,other,Mathematics,2,2 to 5 hours,0,10,89.25,7,6,6,6.33,6,Fail,At-Risk,-1,Medium Risk
STU-A0D4610E,GP,M,15,U,LE3,T,5th to 9th grade,services,services,Mathematics,2,2 to 5 hours,0,4,95.7,15,15,15,15.0,15,Pass,Good,0,Low Risk
STU-18A00DB2,GP,F,15,U,GT3,T,Primary (4th grade),other,other,Mathematics,2,2 to 5 hours,0,2,97.85,9,10,10,9.67,10,Pass,Satisfactory,1,Low Risk
STU-85EF4016,GP,F,15,U,GT3,T,Higher Education,services,services,Mathematics,2,2 to 5 hours,2,6,93.55,7,9,8,8.0,8,Fail,At-Risk,1,High Risk
STU-06CAEA8E,GP,F,16,U,LE3,T,5th to 9th grade,at_home,other,Mathematics,2,2 to 5 hours,0,4,95.7,8,7,6,7.0,6,Fail,At-Risk,-2,Medium Risk
STU-610CC2D9,GP,F,15,U,GT3,T,Higher Education,other,other,Mathematics,3,5 to 10 hours,0,4,95.7,13,14,14,13.67,14,Pass,Good,1,Low Risk
STU-9BB406DC,GP,M,16,U,GT3,T,5th to 9th grade,services,other,Mathematics,2,2 to 5 hours,1,12,87.1,11,10,10,10.33,10,Pass,Satisfactory,-1,Medium Risk
STU-794660FB,GP,M,16,U,LE3,A,Higher Education,teacher,health,Mathematics,2,2 to 5 hours,0,18,80.65,8,6,7,7.0,7,Fail,At-Risk,-1,High Risk
STU-9DF9B249,GP,F,16,U,GT3,T,Secondary Education,other,other,Mathematics,3,5 to 10 hours,0,0,100.0,7,7,8,7.33,8,Fail,At-Risk,1,Medium Risk
STU-A6E6FD26,GP,F,15,U,GT3,T,Higher Education,services,other,Mathematics,1,<2 hours,0,4,95.7,16,17,18,17.0,18,Pass,Distinction,2,Low Risk
STU-EEF94D78,GP,F,16,U,LE3,T,Secondary Education,other,other,Mathematics,2,2 to 5 hours,0,4,95.7,7,6,6,6.33,6,Fail,At-Risk,-1,Medium Risk
STU-E4B6DF55,GP,F,16,U,GT3,T,Higher Education,teacher,services,Mathematics,2,2 to 5 hours,0,0,100.0,11,10,10,10.33,10,Pass,Satisfactory,-1,Low Risk
STU-93EB2F14,GP,M,15,U,LE3,T,5th to 9th grade,services,health,Mathematics,4,>10 hours,0,6,93.55,11,13,14,12.67,14,Pass,Good,3,Low Risk
STU-75EFED09,GP,F,15,R,GT3,T,Primary (4th grade),at_home,other,Mathematics,4,>10 hours,1,2,97.85,7,10,10,9.0,10,Pass,Satisfactory,3,Medium Risk
STU-46ADB2CE,GP,M,16,R,GT3,T,Higher Education,services,other,Mathematics,1,<2 hours,0,2,97.85,11,15,15,13.67,15,Pass,Good,4,Low Risk
STU-03E8CAC7,GP,F,16,U,GT3,T,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,0,2,97.85,8,9,10,9.0,10,Pass,Satisfactory,2,Low Risk
STU-EEBCF729,GP,F,16,U,GT3,T,Higher Education,other,other,Mathematics,1,<2 hours,0,6,93.55,11,14,14,13.0,14,Pass,Good,3,Low Risk
STU-9520AD4E,GP,F,16,U,GT3,T,Higher Education,other,at_home,Mathematics,3,5 to 10 hours,0,0,100.0,7,9,8,8.0,8,Fail,At-Risk,1,Medium Risk
STU-F3C0B480,GP,M,16,U,GT3,T,Higher Education,services,services,Mathematics,1,<2 hours,0,14,84.95,7,7,5,6.33,5,Fail,At-Risk,-2,High Risk
STU-03237CBA,GP,M,16,U,GT3,T,Higher Education,services,teacher,Mathematics,3,5 to 10 hours,0,0,100.0,16,17,17,16.67,17,Pass,Distinction,1,Low Risk
STU-23F7C36E,GP,M,15,U,GT3,T,Higher Education,services,other,Mathematics,1,<2 hours,0,4,95.7,10,13,14,12.33,14,Pass,Good,4,Low Risk
STU-60D2AE52,GP,F,15,U,GT3,T,Secondary Education,services,other,Mathematics,2,2 to 5 hours,0,26,72.04,7,6,6,6.33,6,Fail,At-Risk,-1,High Risk
STU-8C34293B,GP,M,15,U,GT3,A,Higher Education,services,other,Mathematics,2,2 to 5 hours,0,0,100.0,16,18,18,17.33,18,Pass,Distinction,2,Low Risk
STU-44EF5F3E,GP,F,15,U,GT3,A,Secondary Education,other,health,Mathematics,4,>10 hours,0,10,89.25,10,11,11,10.67,11,Pass,Satisfactory,1,Low Risk
STU-18B8E9FD,GP,F,15,U,GT3,T,5th to 9th grade,other,other,Mathematics,4,>10 hours,0,8,91.4,7,8,8,7.67,8,Fail,At-Risk,1,Medium Risk
STU-89274968,GP,M,16,U,GT3,T,Secondary Education,services,other,Mathematics,3,5 to 10 hours,0,2,97.85,16,18,18,17.33,18,Pass,Distinction,2,Low Risk
STU-ABFA4D58,GP,M,15,R,GT3,T,Higher Education,other,other,Mathematics,4,>10 hours,0,6,93.55,10,13,13,12.0,13,Pass,Satisfactory,3,Low Risk
STU-D0F198AC,GP,F,16,U,LE3,T,Higher Education,health,health,Mathematics,3,5 to 10 hours,0,4,95.7,14,15,16,15.0,16,Pass,Distinction,2,Low Risk
STU-63B707DA,GP,M,15,U,LE3,A,Higher Education,teacher,teacher,Mathematics,1,<2 hours,0,6,93.55,18,19,19,18.67,19,Pass,Distinction,1,Low Risk
STU-945AD5F8,GP,F,16,R,GT3,T,Secondary Education,services,other,Mathematics,3,5 to 10 hours,1,0,100.0,7,10,10,9.0,10,Pass,Satisfactory,3,Medium Risk
STU-281EA029,GP,F,16,U,GT3,T,5th to 9th grade,at_home,other,Mathematics,2,2 to 5 hours,1,6,93.55,10,13,13,12.0,13,Pass,Satisfactory,3,Medium Risk
STU-225F3192,GP,M,15,U,LE3,T,Higher Education,teacher,other,Mathematics,1,<2 hours,0,10,89.25,18,19,19,18.67,19,Pass,Distinction,1,Low Risk
STU-90B77E7D,GP,M,15,R,GT3,T,5th to 9th grade,health,services,Mathematics,2,2 to 5 hours,0,8,91.4,9,9,9,9.0,9,Fail,At-Risk,0,Medium Risk
STU-11690B74,GP,M,16,U,GT3,T,Higher Education,teacher,teacher,Mathematics,2,2 to 5 hours,0,2,97.85,15,15,16,15.33,16,Pass,Distinction,1,Low Risk
STU-C0C6373F,GP,M,15,U,GT3,T,Higher Education,other,teacher,Mathematics,2,2 to 5 hours,0,2,97.85,11,13,14,12.67,14,Pass,Good,3,Low Risk
STU-F4216162,GP,M,16,U,GT3,T,Secondary Education,other,services,Mathematics,1,<2 hours,0,0,100.0,13,14,13,13.33,13,Pass,Satisfactory,0,Low Risk
STU-F4475577,GP,M,17,R,GT3,T,Secondary Education,other,other,Mathematics,2,2 to 5 hours,1,20,78.49,9,7,8,8.0,8,Fail,At-Risk,-1,High Risk
STU-C98B1F12,GP,M,15,U,GT3,T,Higher Education,other,other,Mathematics,1,<2 hours,0,6,93.55,14,13,13,13.33,13,Pass,Satisfactory,-1,Low Risk
STU-951DF931,GP,F,15,U,GT3,T,5th to 9th grade,at_home,services,Mathematics,2,2 to 5 hours,0,2,97.85,16,15,15,15.33,15,Pass,Good,-1,Low Risk
STU-4450B4D0,GP,M,15,U,GT3,T,5th to 9th grade,services,services,Mathematics,4,>10 hours,0,6,93.55,16,14,15,15.0,15,Pass,Good,-1,Low Risk
STU-1E9EAC45,GP,F,16,U,LE3,T,Higher Education,other,health,Mathematics,2,2 to 5 hours,0,2,97.85,13,13,13,13.0,13,Pass,Satisfactory,0,Low Risk
STU-DAAA60A0,GP,M,16,U,GT3,T,Higher Education,health,other,Mathematics,1,<2 hours,0,18,80.65,14,11,13,12.67,13,Pass,Satisfactory,-1,Medium Risk
STU-AA8D33B7,GP,F,16,U,GT3,T,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,8,7,8,7.67,8,Fail,At-Risk,0,Medium Risk
STU-3CAF5445,GP,M,15,U,GT3,T,Higher Education,services,services,Mathematics,1,<2 hours,0,0,100.0,13,13,12,12.67,12,Pass,Satisfactory,-1,Low Risk
STU-0D20982C,GP,F,15,U,LE3,A,Higher Education,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,7,10,11,9.33,11,Pass,Satisfactory,4,Low Risk
STU-90AC2BB0,GP,F,19,U,GT3,T,Primary (4th grade),at_home,other,Mathematics,2,2 to 5 hours,3,2,97.85,7,8,9,8.0,9,Fail,At-Risk,2,High Risk
STU-83771651,GP,M,18,R,GT3,T,5th to 9th grade,services,other,Mathematics,1,<2 hours,2,0,100.0,7,4,0,3.67,0,Fail,At-Risk,-7,High Risk
STU-8937BE7E,GP,M,16,R,GT3,T,Higher Education,teacher,teacher,Mathematics,1,<2 hours,0,8,91.4,18,18,18,18.0,18,Pass,Distinction,0,Low Risk
STU-E2ECAE54,GP,F,15,R,GT3,T,Higher Education,services,teacher,Mathematics,3,5 to 10 hours,2,0,100.0,12,0,0,4.0,0,Fail,At-Risk,-12,High Risk
STU-B681FE76,GP,F,15,U,GT3,T,Primary (4th grade),at_home,other,Mathematics,1,<2 hours,0,0,100.0,8,0,0,2.67,0,Fail,At-Risk,-8,Medium Risk
STU-2062C61C,GP,F,17,U,LE3,T,5th to 9th grade,other,other,Mathematics,1,<2 hours,0,12,87.1,10,13,12,11.67,12,Pass,Satisfactory,2,Medium Risk
STU-EB3589B5,GP,F,16,U,GT3,A,Higher Education,services,other,Mathematics,1,<2 hours,0,16,82.8,12,11,11,11.33,11,Pass,Satisfactory,-1,Medium Risk
STU-60E1C036,GP,M,15,R,GT3,T,Higher Education,at_home,teacher,Mathematics,2,2 to 5 hours,0,0,100.0,9,0,0,3.0,0,Fail,At-Risk,-9,Medium Risk
STU-A823FE17,GP,F,15,U,GT3,T,Higher Education,services,at_home,Mathematics,3,5 to 10 hours,0,0,100.0,11,0,0,3.67,0,Fail,At-Risk,-11,Medium Risk
STU-77852A18,GP,M,17,R,GT3,T,Higher Education,at_home,other,Mathematics,2,2 to 5 hours,0,0,100.0,10,0,0,3.33,0,Fail,At-Risk,-10,Medium Risk
STU-E1DECCF8,GP,F,16,U,GT3,A,Secondary Education,other,other,Mathematics,1,<2 hours,2,0,100.0,4,0,0,1.33,0,Fail,At-Risk,-4,High Risk
STU-A5F1F649,GP,M,16,U,LE3,T,Primary (4th grade),services,other,Mathematics,2,2 to 5 hours,1,0,100.0,14,12,12,12.67,12,Pass,Satisfactory,-2,Medium Risk
STU-69D23BE3,GP,F,15,U,GT3,T,Higher Education,teacher,teacher,Mathematics,1,<2 hours,0,0,100.0,16,16,15,15.67,15,Pass,Good,-1,Low Risk
STU-5D8F9A50,GP,M,15,U,GT3,T,Higher Education,teacher,services,Mathematics,4,>10 hours,0,0,100.0,7,9,0,5.33,0,Fail,At-Risk,-7,Medium Risk
STU-F10E7CA7,GP,M,16,U,LE3,T,5th to 9th grade,services,services,Mathematics,1,<2 hours,2,8,91.4,9,9,9,9.0,9,Fail,At-Risk,0,High Risk
STU-D82D98E2,GP,F,15,U,GT3,T,Higher Education,teacher,services,Mathematics,3,5 to 10 hours,0,2,97.85,9,11,11,10.33,11,Pass,Satisfactory,2,Low Risk
STU-D062DEF0,GP,F,16,U,LE3,T,Primary (4th grade),at_home,at_home,Mathematics,1,<2 hours,0,2,97.85,14,14,13,13.67,13,Pass,Satisfactory,-1,Low Risk
STU-B512432D,GP,F,15,U,GT3,T,Primary (4th grade),other,services,Mathematics,2,2 to 5 hours,0,0,100.0,8,11,11,10.0,11,Pass,Satisfactory,3,Low Risk
STU-3B5D435F,GP,F,15,U,GT3,T,Secondary Education,health,services,Mathematics,2,2 to 5 hours,3,0,100.0,6,7,0,4.33,0,Fail,At-Risk,-6,High Risk
STU-82865406,GP,F,15,U,GT3,T,5th to 9th grade,at_home,other,Mathematics,2,2 to 5 hours,0,2,97.85,10,11,11,10.67,11,Pass,Satisfactory,1,Low Risk
STU-632BF98A,GP,M,15,U,LE3,A,5th to 9th grade,services,other,Mathematics,1,<2 hours,3,0,100.0,8,9,10,9.0,10,Pass,Satisfactory,2,Medium Risk
STU-6C6F63DD,GP,M,18,U,LE3,T,Primary (4th grade),other,other,Mathematics,1,<2 hours,3,0,100.0,6,5,0,3.67,0,Fail,At-Risk,-6,High Risk
STU-ABEE31ED,GP,M,16,U,LE3,T,5th to 9th grade,at_home,other,Mathematics,1,<2 hours,1,6,93.55,12,13,14,13.0,14,Pass,Good,2,Medium Risk
STU-4431EC67,GP,F,15,R,GT3,T,Secondary Education,services,services,Mathematics,3,5 to 10 hours,2,8,91.4,10,10,10,10.0,10,Pass,Satisfactory,0,Medium Risk
STU-82460453,GP,M,19,U,GT3,T,Secondary Education,services,at_home,Mathematics,1,<2 hours,3,0,100.0,5,0,0,1.67,0,Fail,At-Risk,-5,High Risk
